,date,RSI,MACD,BBANDS+1d,BBANDS+2d,BBANDS-1d,BBANDS-2d,comp_ratio,GC/DC
33,2006-04-21,39.53100357501428,-0.06248297682732584,1.0196252075934367,1.024590041235781,0.9997658730240588,0.9948010393817145,2,-0.0034421120144181305
34,2006-04-24,29.06687763698711,-0.29193189387677876,1.0413962946579216,1.048981547204122,1.0110552844731198,1.0034700319269192,0,-0.008633064157133497
35,2006-04-25,31.148571495878556,-0.45162056798814376,1.0414081101941848,1.050614734306343,1.0045816137455519,0.9953749896333937,0,-0.010997810378335693
36,2006-04-26,30.686739603341834,-0.5795633118874974,1.0436577708266828,1.05420800200835,1.0014568461000137,0.9909066149183466,2,-0.012302610973235817
37,2006-04-27,27.96312297358252,-0.7218596119580809,1.0510887010181058,1.0633268825821887,1.0021359747617742,0.9898977931976913,1,-0.014033820100353145
38,2006-04-28,26.82810224131793,-0.8466574583158462,1.0548448606141274,1.068584813977845,0.9998850471592577,0.9861450937955403,0,-0.015192118600904969
39,2006-05-01,24.85626530806342,-0.9738733498119245,1.0605756954550383,1.0759155897598338,0.9992161182358571,0.9838762239310617,0,-0.016484096833546458
40,2006-05-02,24.736390690742212,-1.0648388106728106,1.061462560857645,1.0780426897820115,0.9951420451601783,0.9785619162358118,0,-0.016767919194393244
41,2006-05-03,27.6184984262982,-1.1056255528211096,1.059389295071319,1.0767996875876058,0.9897477250061721,0.9723373324898855,1,-0.0158887135672392
42,2006-05-04,27.877132059522687,-1.123385814586058,1.058394989574772,1.076322894645659,0.9866833692912246,0.9687554642203376,2,-0.014829935159254237
43,2006-05-05,23.378949365446857,-1.2042705118140304,1.066619944526453,1.0853891457823963,0.9915431395026806,0.9727739382467373,2,-0.015958989532802725
44,2006-05-08,20.247564307343744,-1.3249149838665488,1.0740400674594275,1.0939010001057858,0.9945963368739943,0.974735404227636,0,-0.01807910042591576
45,2006-05-09,18.291026779391313,-1.4569878325246037,1.0790490631725924,1.0999840243725068,0.9953092183729347,0.9743742571730204,0,-0.020233773847704528
46,2006-05-10,16.954404522395244,-1.583745901045603,1.0816797258349045,1.103386774131892,0.9948515326469549,0.9731444843499675,0,-0.021997526421911218
47,2006-05-11,18.994359236232718,-1.6522458589917335,1.076437269900975,1.0980441964767225,0.9900095635979852,0.9684026370222377,0,-0.021931427016129268
48,2006-05-12,17.12558059017453,-1.7397344772231236,1.0782425979263066,1.0996232806938768,0.992719866856025,0.9713391840884547,2,-0.02276993509120806
49,2006-05-15,23.16930696785454,-1.7493653379203806,1.0689891689030273,1.0896876078605127,0.9861954130730853,0.9654969741156,0,-0.021318243470504816
50,2006-05-16,20.448971519250488,-1.8031859229348015,1.0737486008622852,1.0946187076568157,0.9902681736841635,0.969398066889633,3,-0.021778380943757503
51,2006-05-17,33.51464273527803,-1.721897937713237,1.055732632007804,1.0750028045624358,0.9786519417892764,0.9593817692346445,0,-0.018252492765558403
52,2006-05-18,32.40388835263487,-1.6585310212266648,1.0510034890102065,1.0682757564088345,0.9819144194156939,0.9646421520170658,3,-0.01627201587841387
53,2006-05-19,40.55166383427784,-1.5134027416861642,1.0355717089410788,1.050595454001644,0.9754767286988172,0.9604529836382519,0,-0.01236459317141092
54,2006-05-22,39.640454139818715,-1.396012747838924,1.034334276852795,1.0486678428258207,0.9770000129606915,0.9626664469876657,3,-0.010077305178078366
55,2006-05-23,42.66041744848275,-1.25861588373823,1.0274096328357802,1.0406005516756922,0.9746459574761331,0.9614550386362213,1,-0.007551383748849783
56,2006-05-24,50.139263240085526,-1.0544603248702913,1.0151257148056878,1.027140839300278,0.9670652168273268,0.9550500923327365,3,-0.003583420155127026
57,2006-05-25,43.49582229747241,-0.9718374759011681,1.022506612376549,1.0337666269726944,0.9774665539919667,0.9662065393958211,3,-0.003514242572726811
58,2006-05-26,49.07547571365328,-0.8274254150176574,1.0128891351747864,1.0234212227337753,0.97076078493883,0.960228697379841,0,-0.0014962884665775666
59,2006-05-29,47.8333571465582,-0.7216048497668481,1.013549123177938,1.023687401974555,0.9729960079914705,0.9628577291948535,3,-0.0006928943177347824
60,2006-05-30,45.86866736375681,-0.656798368732538,1.0149614499296158,1.0246139551298858,0.976351429128536,0.9666989239282661,1,-0.0008859484464496248
61,2006-05-31,49.076765927904944,-0.5610463010420403,1.0090887937212556,1.0180985072174638,0.9730499397364227,0.9640402262402145,0,2.4937407017810997e-05
62,2006-06-01,49.283378800914036,-0.47724002235526086,1.007049984970124,1.015385401891343,0.973708317285248,0.9653729003640289,3,0.0006346104297867416
63,2006-06-02,43.62801798818264,-0.47713835076470446,1.0141646760625098,1.0223031315197022,0.9816108542337401,0.9734723987765477,2,-0.0009065476534668715
64,2006-06-05,47.424173313050865,-0.4301397379713734,1.0099675051898145,1.018194019477372,0.9770614480395842,0.9688349337520268,0,-0.0006990379713314177
65,2006-06-06,53.97182985676411,-0.3070480642675193,1.0030436247248478,1.011787119792313,0.9680696444549878,0.9593261493875227,3,0.001594831203756475
66,2006-06-07,55.43670821959861,-0.18716657559050986,1.0029733310918976,1.0121084286322086,0.9664329409306532,0.9572978433903421,3,0.0034419154139978536
67,2006-06-08,59.0829094324007,-0.039257528044828405,1.000363335656235,1.0102345016011958,0.9608786718763914,0.9510075059314306,3,0.005779091522503554
68,2006-06-09,57.599346907448826,0.06191631294446154,1.003605432765149,1.013413939637283,0.9643714052766124,0.9545628984044783,3,0.006631975534138745
69,2006-06-12,60.098089016020886,0.17557768337260882,1.0021025667352206,1.012199471497692,0.9617149476853349,0.9516180429228634,1,0.007819005329850137
